qc_id,fid,nome_lugar,cdgo16_11_,nome_mapa,capitalcon,capitalpro,cabeceraco,capitalaut,icon_url
107,14058,Airexe,"27057210100",Airexe,Non,Non,Non,Non,
108,2266,"Peteiro, O","27057210500",O Peteiro,Non,Non,Non,Non,
109,33186,Outeiro,"27057210401",Outeiro,Non,Non,Non,Non,
110,17860,Vilalence,"27057210701",Vilalence,Non,Non,Non,Non,
111,538,Barrio,2705721-99,Barrio,Non,Non,Non,Non,
112,24225,Cabezares,"27057210200",Cabezares,Non,Non,Non,Non,
113,25907,"Lama, A","27057210300",A Lama,Non,Non,Non,Non,
114,34842,Tremeado,"27057460401",Tremeado,Non,Non,Non,Non,
115,35879,Valadares,"27057470700",Valadares,Non,Non,Non,Non,
116,36531,"Mesón, O",2705747-99,O Mesón,Non,Non,Non,Non,
117,32880,Ladruga,"27057470300",Ladruga,Non,Non,Non,Non,
118,19378,Frades,"27057170100",Frades,Non,Non,Non,Non,
119,22396,Rosende,"27057310700",Rosende,Non,Non,Non,Non,
120,17744,"Vilerma, A","27057261000",A Vilerma,Non,Non,Non,Non,
